NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
* Assess the efficacy of this preparation on pain,clinical parameter and the level of il-33 in saliva.,"","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Be examined by the investigator,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
"* Compare the outcome of new preparation with the gold standard treatment (corticosteroids).\"",no,Oral Lichen Planus,DRUG: Triamcinolone|DRUG: Turmeric paste,"Pain intensity, measured by Visual Analog Scale (VAS) 0 = no pain 10= severe pain 0= no pain 10= pain severe pain, 4 weeks","clinical sign score, measured by Thongprasom from score 0 to 5 0= only white lesion 5=area of erosion more than 2 cm, Baseline , 2nd week and 4th week|IL-33 level in saliva, by ELISA, base line and 4th week","",Cairo University,"",ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,OMED2:5:1,2019-05-01,2020-05-01,2020-06-01,2019-03-18,"",2019-03-18,"",,,,,"",""
* Complete several questionnaires,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Is BUFY01 non-inferior to SVS20 in terms of signs of DED?,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Is BUFY01 non-inferior to SVS20 in terms of symptoms of DED?,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Return unused study treatment.,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Use the allocated study treatment everyday until the end of the study (during 3 months),"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
* Visit the trial site at 4 different timepoints,"","","","","","","","","","","","","","","","","","","","","",,"",,,,,"",""
All participants will complete the same tasks at subsequent visits (post-treatment,on-year follow-up) and it is hoped that teens who have used the tvns device for the 30-day intervention period will show improved responses. for the rate of change,we will use percentile ranking vis-a-vis national norms.,30 Days|Improved Reports of Social Isolation and Loneliness,Each participating teen will complete questions regarding feelings of loneliness and social isolation on the Qualtrics survey while in the lab at each visit. We are using the 8-item UCLA loneliness scale to measure this in each teen.,"","","","","","","","","","","","","","","","","",,"",,,,,"",""
Current face-to-face prevention approaches are of limited effectiveness,rely on extensive resources,and are at odds with adolescents' digital preferences. We will evaluate two unconventional but promising interventions delivered to 13- to 17-year-olds: transcutaneous vagus nerve stimulation to target emotion dysregulation,and a peer-support smartphone app to combat social isolation. If effective,"these digitally-delivered interventions could reach far more adolescents at far lower cost than current approaches.\"",NO,Self Harm|Suicidal Ideation,DEVICE: tVns Program|OTHER: Phone App Program|COMBINATION_PRODUCT: tVNS and Phone App Program|OTHER: Enhanced Treatment as Usual,"Change from Baseline in Non-Suicidal Self Injury Behaviors at 30 Days, Teens will be assessed at the baseline lab visit for emotion regulation and self-harm through questions on the Qualtrics survey (measures are Difficulties in Emotion Regulation Scale and the Youth Self Report). They will also complete a face-to-face interview with a trained staff member to assess their level of non-suicidal self-injury, suicide ideation, and suicide attempts. In addition, we will collect measures of psychophysiological reactivity (heart rate variability, cardiac pre-ejection period) to emotional challenge.","","","","","","","","","","","","","",,"",,,,,"",""
For the rate of change,we will use percentile ranking vis-a-vis national norms.,30 Days|Improved Results from Participant's Typical Treatment,Teens who are not placed in one of the active intervention groups will still be able to access our phone app which allows them to play a non-cooperative game on their own,and they are able to text with our team members during regular business hours. The added support will hopefully help their current treatment plan to improve their thoughts and behaviors in regard to suicidal ideation and self-harm.,"","","","","","","","","","","","","","","","","",,"",,,,,"",""
NCT01126879,genistein in treating patients with prostate cancer,https://clinicaltrials.gov/study/NCT01126879,"",TERMINATED,RATIONALE: Genistein may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,"","","","","","","","","","","","","","","","",,"",,,,,"",""
